q_true,b_true,n,bins,method,repetitions,valid,failures,failure_rate,at_bound,mean_occupied_bins,mean_q_hat,median_q_hat,bias_q,mcse_bias_q,sd_q,rmse_q,mcse_rmse_q,mean_b_hat,bias_b,mcse_bias_b,sd_b,rmse_b,mcse_rmse_b,mean_seconds
1.5,5.0,1000,50,pdf,20,20,0,0.0,0,49.1,1.5070267692952288,1.513041810313133,0.007026769295228763,0.01386192004322947,0.06199239103065584,0.06082992031181056,0.010353134666023115,5.001764601188801,0.0017646011888004854,0.15875168019015226,0.7099590968949744,0.6919847809873326,0.1355396016069217,0.06063824974999079
1.5,5.0,1000,50,qlog,20,20,0,0.0,0,49.1,1.5180000000000002,1.52,0.018000000000000016,0.013050509165304031,0.05836365126920771,0.059665735560705244,0.00901047422568495,4.276674110545399,-0.7233258894546,0.1255422051446872,0.5614418094974888,0.9070040807705949,0.07560074605923195,0.03736593359997187
1.5,5.0,1000,60,pdf,20,20,0,0.0,0,58.85,1.5077956086888673,1.5026997618022984,0.007795608688867384,0.014226592298119229,0.0636232549335391,0.06250035323701097,0.011498258276318922,5.019259130563438,0.01925913056343793,0.17216423640182366,0.7699418717776431,0.7506935964364537,0.154220183048065,0.06882755075007481
1.5,5.0,1000,60,qlog,20,20,0,0.0,0,58.85,1.509,1.52,0.009000000000000008,0.013801220388448502,0.061720933922053814,0.060827625302982254,0.011521209336713318,4.201413661289393,-0.7985863387106076,0.13392529139280557,0.5989321109215615,0.9892036343410404,0.08623374525785404,0.03662252019994412
1.5,5.0,1000,70,pdf,20,20,0,0.0,0,67.95,1.5065985097568655,1.5107272908857143,0.006598509756865411,0.01387651575734211,0.062057665048527874,0.060845184137472724,0.010861193258737223,4.996726708453673,-0.003273291546327739,0.16450182520782478,0.7356745271749694,0.717054303295752,0.14334500197975586,0.06712836399992739
1.5,5.0,1000,70,qlog,20,20,0,0.0,0,67.95,1.51,1.51,0.010000000000000009,0.013178930553209395,0.05893796917545024,0.05830951894845306,0.009555119549096356,4.096301301820261,-0.903698698179739,0.11099054457075168,0.496364805039842,1.0250514405579279,0.07120994991609109,0.03946704169998157
1.5,5.0,1000,80,pdf,20,20,0,0.0,0,77.4,1.5069598861668265,1.513142273625226,0.006959886166826401,0.013882683678374164,0.062085248829942916,0.060912143548042315,0.011227946482756903,5.000702626543878,0.000702626543876983,0.1640912746219148,0.7338384891383752,0.715257628703049,0.14516580365597861,0.06245525330000419
1.5,5.0,1000,80,qlog,20,20,0,0.0,0,77.4,1.5090000000000001,1.51,0.009000000000000008,0.013414446258457818,0.05999122742885879,0.05916079783099621,0.010052119815340198,4.064028263682024,-0.935971736317976,0.12775776546815348,0.5713500964805329,1.0891106359305218,0.08562493594525179,0.04142144305005786
1.5,5.0,1000,90,pdf,20,20,0,0.0,0,86.4,1.5079527814419973,1.5098601301519998,0.007952781441997158,0.014284209865481462,0.06388092852817935,0.06276926884077443,0.011076783198859307,5.016276094892831,0.01627609489283106,0.16851623505698787,0.7536275137995161,0.7347255401459911,0.15308764728267213,0.06871014444996035
1.5,5.0,1000,90,qlog,20,20,0,0.0,0,86.4,1.512,1.51,0.01200000000000001,0.014392980745378718,0.06436736669102482,0.06387487769068531,0.010373817960192263,3.9529672249601164,-1.0470327750398838,0.10994742833751413,0.4916998474279366,1.1515024685037993,0.08680667598139544,0.036954457900037596
