q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,2,20260926-0-0-0-2,80,qlog,1.52,1.5925768181866837,True,False,77,11.194767650629467,0.04171382499998799,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,90,pdf,1.506328981967724,1.9577140948408058,True,False,87,11.194767650629467,0.054565722000006645,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,90,qlog,1.52,1.6374422168640266,True,False,87,11.194767650629467,0.033801562000007834,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,100,pdf,1.5031076081910375,1.9463577677467028,True,False,96,11.194767650629467,0.04247089299997242,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,100,qlog,1.52,1.5765605717027151,True,False,96,11.194767650629467,0.03732517100024779,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,110,pdf,1.4988966987702113,1.934234150697216,True,False,105,11.194767650629467,0.054346730999895954,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,110,qlog,1.52,1.5314223379308758,True,False,105,11.194767650629467,0.043111208000027545,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,120,pdf,1.5041953259264143,1.9480460223367861,True,False,115,11.194767650629467,0.04291194999996151,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,120,qlog,1.52,1.4888526820412842,True,False,115,11.194767650629467,0.033920320000106585,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,130,pdf,1.504322405742065,1.9538477378250156,True,False,123,11.194767650629467,0.06453730800012636,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,130,qlog,1.54,1.5493804776263336,True,False,123,11.194767650629467,0.030954274999658082,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,140,pdf,1.5031860831973136,1.9497140180929606,True,False,131,11.194767650629467,0.052972335999584175,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,140,qlog,1.52,1.3751961372245705,True,False,131,11.194767650629467,0.033556218999819976,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,150,pdf,1.50837693944182,1.9684742793804864,True,False,139,11.194767650629467,0.06240974299998925,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,150,qlog,1.54,1.3799839025284928,True,False,139,11.194767650629467,0.040359648000048765,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,160,pdf,1.504907317740069,1.9597528905685302,True,False,150,11.194767650629467,0.08045043399988572,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,160,qlog,1.54,1.3912889015901013,True,False,150,11.194767650629467,0.034970663000422064,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,170,pdf,1.5062977285138988,1.9610183876515408,True,False,156,11.194767650629467,0.047813018999931955,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,170,qlog,1.54,1.327520351069643,True,False,156,11.194767650629467,0.03733650999993188,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,180,pdf,1.5045412243929563,1.9535509953986891,True,False,167,11.194767650629467,0.06846161100020254,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,180,qlog,1.52,1.2821434856354035,True,False,167,11.194767650629467,0.07061674699980358,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,190,pdf,1.5067974137767262,1.9652566744721376,True,False,172,11.194767650629467,0.0692326809999031,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,190,qlog,1.54,1.2519569225832614,True,False,172,11.194767650629467,0.03621551600008388,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,200,pdf,1.5036760211065936,1.949033258116003,True,False,184,11.194767650629467,0.23360507600000346,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,200,qlog,1.54,1.244595563772852,True,False,184,11.194767650629467,0.059598364000066795,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,10,pdf,1.5029354396061176,2.0819937819462537,True,False,10,19.036963486562534,0.11504492700032642,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,10,qlog,2.04,1.5917951422543108,True,False,10,19.036963486562534,0.027995733999887307,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,20,pdf,1.5292391582940936,2.1691540859749403,True,False,20,19.036963486562534,0.1457583540000087,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,3,20260926-0-0-0-3,20,qlog,1.6600000000000001,1.7524259654373084,True,False,20,19.036963486562534,0.028703483000299457,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,30,pdf,1.4785342172763047,1.9833718169072043,True,False,29,19.036963486562534,0.10930812100014009,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,30,qlog,1.54,1.7404078133372578,True,False,29,19.036963486562534,0.02804301400010445,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,40,pdf,1.4913336266037678,2.039927056438232,True,False,39,19.036963486562534,0.10515904600015347,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,3,20260926-0-0-0-3,40,qlog,1.54,1.8371771280083231,True,False,39,19.036963486562534,0.025607793999824935,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,50,pdf,1.5002856486750884,2.058745443154463,True,False,48,19.036963486562534,0.08535084000004645,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,50,qlog,1.54,1.8818210250876715,True,False,48,19.036963486562534,0.046855742000389,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,60,pdf,1.495057139471355,2.044913830765813,True,False,56,19.036963486562534,0.07711454499985848,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,60,qlog,1.54,1.8486108905300285,True,False,56,19.036963486562534,0.04509892799978843,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,70,pdf,1.4934561922549772,2.0429377153163135,True,False,66,19.036963486562534,0.09565014100007829,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,70,qlog,1.54,1.8038865165171667,True,False,66,19.036963486562534,0.04561929500005135,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,80,pdf,1.4964290878258204,2.058417173432691,True,False,74,19.036963486562534,0.05176040399965132,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,80,qlog,1.56,1.898254549958426,True,False,74,19.036963486562534,0.056333640000048035,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,90,pdf,1.4999772685388455,2.06309687905001,True,False,83,19.036963486562534,0.07322721499986073,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,90,qlog,1.56,1.7435920309139354,True,False,83,19.036963486562534,0.051234532999842486,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,100,pdf,1.5003928666527162,2.062479497798761,True,False,92,19.036963486562534,0.04775367999991431,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,100,qlog,1.58,1.8117539525675102,True,False,92,19.036963486562534,0.05140681399961977,barrido q-log; q por deviance de bins
