q_true,b_true,mu_true,n,rep,method,q_hat,b_hat,success,at_bound,at_start,occupied_bins,objective,nfev,seconds,message
1.4,2.0,0.0,2000,61,qlog,1.5551100398379447,2.117636406412432,True,False,False,40,0.8975423703044256,36,0.004577724999762722,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,61,cdf,1.3979021464248693,1.8427172436815178,True,False,False,40,2.1743803498048558e-05,36,0.040026756998486235,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,62,pdf,1.3160638257684987,1.8138266465191095,True,False,False,38,0.8701594742581011,39,0.005644478998874547,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,62,mle,1.3473390717328233,1.8414591533309486,True,False,False,38,2164.0232254499047,42,0.003946953000195208,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,62,qlog,1.5590484537203124,2.313051303256845,True,False,False,38,0.8406377302417661,33,0.00494780000008177,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,62,cdf,1.388825898666036,1.9670789245526916,True,False,False,38,0.00012542443725714419,36,0.032707370999560226,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,63,pdf,1.3738965571768538,1.9767578266736943,True,False,False,36,0.8579894811651797,39,0.003261802999986685,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,63,mle,1.4087913339194982,2.0506011316695556,True,False,False,36,2195.9803372492297,36,0.0040929130009317305,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,63,qlog,1.6216727971272304,2.5274413813666583,True,False,False,36,0.9698699375365418,33,0.003557910999006708,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,63,cdf,1.440294489106844,2.161357171401847,True,False,False,36,2.0915341493840095e-05,36,0.058330343999841716,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,64,pdf,1.4155584171433653,2.0933355005071266,True,False,False,42,0.9015320253091366,36,0.0036837369989370927,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,64,mle,1.4077684148461838,2.002395101091433,True,False,False,42,2217.3622324864236,39,0.005226299999776529,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
