q_true,b_true,mu_true,n,rep,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,objective,nfev,seconds,message
2.5,2.0,0.0,100,49,mle,2.492431922417416,1.6740746908499458,True,False,19,244643.5704647662,479.49096328904693,99,0.004905644000018583,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,49,qlog,nan,nan,False,False,19,244643.5704647662,nan,0,0.0040837520000422955,ningun candidato q-log valido
2.5,2.0,0.0,100,49,cdf,2.5252825141188673,2.2383190809696845,True,False,19,244643.5704647662,0.0006932977947621732,108,0.012840276000019912,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,50,pdf,2.5532365212395014,3.8430968167197257,True,False,21,230015547.70317397,28.217513683369134,144,0.039922726999975566,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,50,mle,2.5537479300528143,2.8716503760682426,True,False,21,230015547.70317397,518.4055353621407,108,0.004572560999918096,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,50,qlog,nan,nan,False,False,21,230015547.70317397,nan,0,0.0041153800000302,ningun candidato q-log valido
2.5,2.0,0.0,100,50,cdf,2.5497369023501566,2.095732993475587,True,False,21,230015547.70317397,0.00045420122481674876,84,0.009508449999998447,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,51,pdf,2.5930563405787543,17.77942500556666,True,False,19,1177401.6471483845,41.50546442786582,183,0.03292488100009905,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,51,mle,2.520104876690383,2.6956700095055193,True,False,19,1177401.6471483845,483.49206565618556,108,0.004636527999991813,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,51,qlog,nan,nan,False,False,19,1177401.6471483845,nan,0,0.004030210999985684,ningun candidato q-log valido
2.5,2.0,0.0,100,51,cdf,2.5015160931815266,2.105585771327629,True,False,19,1177401.6471483845,0.0007285846283404472,108,0.012025024999957168,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,52,pdf,2.6431835025423656,19.015804088684717,True,False,21,16486.3366332317,47.06783581441898,219,0.057713404000082846,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,52,mle,2.4746594571386584,1.1302742240187333,True,False,21,16486.3366332317,482.6870262808688,93,0.00441892900005314,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,52,qlog,nan,nan,False,False,21,16486.3366332317,nan,0,0.004303193999930954,ningun candidato q-log valido
2.5,2.0,0.0,100,52,cdf,2.5065399835045086,1.2445811417652015,True,False,21,16486.3366332317,0.003967117360051266,120,0.014945337000085601,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,53,pdf,2.6407589337211883,50.0,True,True,17,28374395.61551454,40.048748977751664,165,0.049265166000054705,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,53,mle,2.5579538975238423,1.7754756656673636,True,False,17,28374395.61551454,547.5814933615779,99,0.0033844650000673937,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,53,qlog,nan,nan,False,False,17,28374395.61551454,nan,0,0.003235479999943891,ningun candidato q-log valido
2.5,2.0,0.0,100,53,cdf,2.5235967413899454,1.1166170004985316,True,False,17,28374395.61551454,0.0009829757287724806,126,0.01957069299999148,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,54,pdf,2.4484727964547583,1.2583418208250177,True,False,21,9468904.856764792,43.421440115502485,102,0.01979915300000812,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,54,mle,2.4786368187453016,2.67885546714167,True,False,21,9468904.856764792,443.1312774246601,114,0.0047734539999737535,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,54,qlog,nan,nan,False,False,21,9468904.856764792,nan,0,0.0031372710000141524,ningun candidato q-log valido
2.5,2.0,0.0,100,54,cdf,2.5635147152812072,5.258853479620388,True,False,21,9468904.856764792,0.005079996954842663,123,0.012255843000048117,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,55,pdf,2.625077418878134,40.4535400583071,True,False,18,6523067.8112836275,30.933684453733616,219,0.21519324899998082,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,55,mle,2.556600136541835,2.977607627060852,True,False,18,6523067.8112836275,520.0663118139274,108,0.005010232000017822,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,55,qlog,nan,nan,False,False,18,6523067.8112836275,nan,0,0.0041110539999635876,ningun candidato q-log valido
2.5,2.0,0.0,100,55,cdf,2.565028346551107,2.9324918721745754,True,False,18,6523067.8112836275,0.00024128839720260486,123,0.013865484999996625,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,56,pdf,2.627086934935055,24.00723961529422,True,False,22,6023226.921895485,34.99297107671309,255,0.044026698999914515,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,56,mle,2.5579474649336027,2.08445277904637,True,False,22,6023226.921895485,539.5517576787214,105,0.004100407000009909,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,56,qlog,nan,nan,False,False,22,6023226.921895485,nan,0,0.0034704650000776383,ningun candidato q-log valido
2.5,2.0,0.0,100,56,cdf,2.5415978716535554,1.0796796069997547,True,False,22,6023226.921895485,0.0030652135713921135,120,0.014446824000060587,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,57,pdf,2.5892383161866213,27.540265234050715,True,False,16,5222571845.641589,37.96621543290975,234,0.05068988400000762,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,57,mle,2.5023224709559178,1.0063007949034017,True,False,16,5222571845.641589,514.5565673085521,99,0.005015490000005229,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,57,qlog,nan,nan,False,False,16,5222571845.641589,nan,0,0.004011392000052183,ningun candidato q-log valido
2.5,2.0,0.0,100,57,cdf,2.4785833011215828,0.8611096570332105,True,False,16,5222571845.641589,0.0004622140501116445,135,0.0388544230000889,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,58,pdf,2.6611286316710676,50.0,True,True,18,835616.9969283609,39.64041732045627,147,0.04322855299994899,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,58,mle,2.563938134793083,4.150198110691648,True,False,18,835616.9969283609,512.590899350176,114,0.0059168129999989105,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,58,qlog,nan,nan,False,False,18,835616.9969283609,nan,0,0.00486287999990509,ningun candidato q-log valido
2.5,2.0,0.0,100,58,cdf,2.5771241697402436,4.69787154519784,True,False,18,835616.9969283609,0.0013159824746990807,132,0.016573487999949066,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,59,pdf,2.5268257133223218,0.6851118450348391,True,False,24,1463589.8540637502,44.23205724258835,111,0.022651384000027974,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,59,mle,2.502896962413719,0.8949911612960625,True,False,24,1463589.8540637502,520.9870931506048,93,0.006441385000016453,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,59,qlog,nan,nan,False,False,24,1463589.8540637502,nan,0,0.004538589999924625,ningun candidato q-log valido
2.5,2.0,0.0,100,59,cdf,2.5251979517081296,1.2024460281509668,True,False,24,1463589.8540637502,0.0008445336875745633,114,0.02602836699998079,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,60,pdf,2.5595039582513013,46.98906588020643,True,False,19,108842.73209956144,34.5366439763632,216,0.043972918000008576,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,60,mle,2.433797017058106,2.3925276974182896,True,False,19,108842.73209956144,410.9870956592117,99,0.005447343000014371,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,60,qlog,nan,nan,False,False,19,108842.73209956144,nan,0,0.00414140899999893,ningun candidato q-log valido
2.5,2.0,0.0,100,60,cdf,2.4176854897849527,2.0504391635709815,True,False,19,108842.73209956144,0.0003494804232313348,72,0.00944125000000895,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,61,pdf,2.4581666372335813,1.2546992216440758,True,False,24,47340.83395267385,47.50630158594781,99,0.045346884000082355,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,61,mle,2.4320807483659013,1.3075450729658775,True,False,24,47340.83395267385,439.85901865992963,108,0.006570399999986876,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,61,qlog,nan,nan,False,False,24,47340.83395267385,nan,0,0.00427866699999413,ningun candidato q-log valido
2.5,2.0,0.0,100,61,cdf,2.4853860808333943,1.5853123283906039,True,False,24,47340.83395267385,0.004860926172343377,105,0.028845985999964796,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,62,pdf,2.4216855104237656,0.5387430307045764,True,False,16,232853.9460208826,37.82823485832018,105,0.024475532000110434,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,62,mle,2.5409299610434863,10.636487153036693,True,False,16,232853.9460208826,437.82225063849774,138,0.020496748000027765,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,62,qlog,nan,nan,False,False,16,232853.9460208826,nan,0,0.004202522000014142,ningun candidato q-log valido
2.5,2.0,0.0,100,62,cdf,2.597557838022671,10.842258782077435,True,False,16,232853.9460208826,0.004414655821006462,144,0.01620380000008481,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,63,pdf,2.4900204149055534,2.6778263043389936,True,False,16,356560104.34940356,42.96342965908747,141,0.024977089000003616,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,63,mle,2.477942647112937,2.620488181195441,True,False,16,356560104.34940356,443.60241696814245,108,0.004967206999936025,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,63,qlog,nan,nan,False,False,16,356560104.34940356,nan,0,0.004064663000008295,ningun candidato q-log valido
2.5,2.0,0.0,100,63,cdf,2.451153219824796,2.5558981647192507,True,False,16,356560104.34940356,0.0005082870776889344,102,0.015301776000001155,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,64,pdf,2.354479582105796,0.4106357250119725,True,False,29,942962.8072205184,51.95739788899339,111,0.040034906000073534,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,64,mle,2.4147361932658438,1.0968344912813126,True,False,29,942962.8072205184,435.52577732319435,90,0.0037341040000455905,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,64,qlog,nan,nan,False,False,29,942962.8072205184,nan,0,0.004018263000034494,ningun candidato q-log valido
2.5,2.0,0.0,100,64,cdf,2.4776218519103335,1.5900023030412294,True,False,29,942962.8072205184,0.0009916674022999398,117,0.013791253000022152,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,65,pdf,2.45313201527951,5.734884343824199,True,False,24,63685.057599021085,36.73019372196122,117,0.02138565200004905,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,65,mle,2.412148240145142,3.9841658737432812,True,False,24,63685.057599021085,369.13377935450796,99,0.004043670999976712,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
