q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,2,20260926-0-0-0-2,150,pdf,1.50837693944182,1.9684742793804864,True,False,139,11.194767650629467,0.1681727850000243,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,150,qlog,1.54,1.3799839025284928,True,False,139,11.194767650629467,0.03732422999996743,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,200,pdf,1.5036760211065936,1.949033258116003,True,False,184,11.194767650629467,0.22432939100008298,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,200,qlog,1.54,1.244595563772852,True,False,184,11.194767650629467,0.0368383789998461,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,20,pdf,1.5292391582940936,2.1691540859749403,True,False,20,19.036963486562534,0.10784076499999173,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,3,20260926-0-0-0-3,20,qlog,1.6600000000000001,1.7524259654373084,True,False,20,19.036963486562534,0.02698022699996727,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,30,pdf,1.4785342172763047,1.9833718169072043,True,False,29,19.036963486562534,0.07990383000014845,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,30,qlog,1.54,1.7404078133372578,True,False,29,19.036963486562534,0.027755308999985573,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,40,pdf,1.4913336266037678,2.039927056438232,True,False,39,19.036963486562534,0.07645909899997605,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,3,20260926-0-0-0-3,40,qlog,1.54,1.8371771280083231,True,False,39,19.036963486562534,0.027387558000100398,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,50,pdf,1.5002856486750884,2.058745443154463,True,False,48,19.036963486562534,0.07501112299996748,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,50,qlog,1.54,1.8818210250876715,True,False,48,19.036963486562534,0.04788745800010474,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,70,pdf,1.4934561922549772,2.0429377153163135,True,False,66,19.036963486562534,0.12554144499995346,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,70,qlog,1.54,1.8038865165171667,True,False,66,19.036963486562534,0.030266399000083766,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,100,pdf,1.5003928666527162,2.062479497798761,True,False,92,19.036963486562534,0.11053342900004282,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,100,qlog,1.58,1.8117539525675102,True,False,92,19.036963486562534,0.04913434500008407,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,150,pdf,1.4978235627040952,2.059415692963506,True,False,135,19.036963486562534,0.08395822800002861,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,150,qlog,1.6,1.6881146237412263,True,False,135,19.036963486562534,0.031298834000153875,barrido q-log; q por deviance de bins
1.5,2.0,1000,3,20260926-0-0-0-3,200,pdf,1.499290148164323,2.0632429710750233,True,False,174,19.036963486562534,0.07287892099998317,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,3,20260926-0-0-0-3,200,qlog,1.62,1.5385758664842741,True,False,174,19.036963486562534,0.03930345499998111,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,20,pdf,1.4123907264010314,1.8369293374644293,True,False,20,8.588592928733151,0.06795279999982995,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,4,20260926-0-0-0-4,20,qlog,1.5,1.5896652256346517,True,False,20,8.588592928733151,0.02516767199995229,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,30,pdf,1.454215802185887,1.9754517438912595,True,False,29,8.588592928733151,0.03625119900016216,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,4,20260926-0-0-0-4,30,qlog,1.48,1.7473774941788236,True,False,29,8.588592928733151,0.03561474000002818,barrido q-log; q por deviance de bins
1.5,2.0,1000,4,20260926-0-0-0-4,40,pdf,1.450139398833546,1.952416672539804,True,False,39,8.588592928733151,0.038421333999849594,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
